iter	Logloss
0	0.6514910269
1	0.6214191326
2	0.5953810816
3	0.5747326671
4	0.5529988109
5	0.5330488564
6	0.5164691814
7	0.5030031785
8	0.4903644617
9	0.4725297734
10	0.4615747811
11	0.4498865045
12	0.4404009888
13	0.431776782
14	0.4237974692
15	0.4169293666
16	0.4075086511
17	0.4030521503
18	0.3987282242
19	0.3958079518
20	0.3911974534
21	0.3877595708
22	0.3849492557
23	0.3787893599
24	0.377365784
25	0.3743070188
26	0.3737038516
27	0.3690815165
28	0.3661075205
29	0.3613111385
30	0.3579891122
31	0.3552533799
32	0.3526283817
33	0.3482099533
34	0.3468593846
35	0.3443052485
36	0.3415690768
37	0.3381328666
38	0.3360184683
39	0.334438722
40	0.3331131534
41	0.3308801568
42	0.3297835143
43	0.3286680222
44	0.3277391268
45	0.324083226
46	0.322987081
47	0.3211114386
48	0.3195763989
49	0.3175436683
50	0.3153253776
51	0.3136213413
52	0.3118620638
53	0.3104032682
54	0.3084656923
55	0.3071300866
56	0.3055855682
57	0.3046553377
58	0.3029726388
59	0.3009888746
60	0.3002176368
61	0.2991862311
62	0.2982022548
63	0.2967914139
64	0.295229182
65	0.2940343
66	0.2928980178
67	0.2916434855
68	0.2907494255
69	0.2895184862
70	0.2883606123
71	0.2866801635
72	0.2849946091
73	0.2839575256
74	0.2829324031
75	0.281927012
76	0.2807460039
77	0.278449299
78	0.2779003751
79	0.2765484492
80	0.275515595
81	0.2749909553
82	0.2735481317
83	0.2728025934
84	0.2717275039
85	0.2711303075
86	0.2705193865
87	0.2689630094
88	0.26817379
89	0.2673300176
90	0.2662409741
91	0.26539109
92	0.2646538389
93	0.2636111246
94	0.2630631931
95	0.2621605002
96	0.2609393521
97	0.2604610747
98	0.2593930424
99	0.258235525
100	0.2575795326
101	0.2566361303
102	0.2557689335
103	0.2546483054
104	0.2540625475
105	0.2533781936
106	0.2528763564
107	0.2516202208
108	0.2508422078
109	0.2499223239
110	0.2485459342
111	0.2478655774
112	0.2465427122
113	0.2457943875
114	0.2450349061
115	0.2442001785
116	0.2434360228
117	0.2427891469
118	0.2420898659
119	0.2414491128
120	0.2407054846
121	0.2402246724
122	0.2398181335
123	0.2393892896
124	0.2383103854
125	0.2373221328
126	0.2364514918
127	0.2360103884
128	0.2353559826
129	0.234618878
130	0.2338051589
131	0.2327985238
132	0.232117277
133	0.2315730136
134	0.2309017734
135	0.229778417
136	0.2292255789
137	0.2285848839
138	0.2281544727
139	0.2277351518
140	0.2271655649
141	0.2266430758
142	0.2260445332
143	0.2256172733
144	0.2248707288
145	0.2239769203
146	0.2234633985
147	0.2230450865
148	0.2222685551
149	0.2214783323
150	0.2208857301
151	0.2205872826
152	0.2200788968
153	0.2195215916
154	0.2191811437
155	0.2180810597
156	0.2176440971
157	0.2169109787
158	0.2163493723
159	0.215598955
160	0.2149063138
161	0.2142804353
162	0.2140432468
163	0.2136544269
164	0.2130965744
165	0.2122932351
166	0.2114879553
167	0.2109071206
168	0.2104334486
169	0.2094609219
170	0.2085754864
171	0.2082585819
172	0.2075675798
173	0.2071331688
174	0.206532412
175	0.2059892737
176	0.2056108751
177	0.2051728926
178	0.2047340918
179	0.2038401922
180	0.203339198
181	0.2029202503
182	0.2020287058
183	0.2016805372
184	0.2011059111
185	0.2006917456
186	0.2003016845
187	0.1997290984
188	0.1994037877
189	0.1987837087
190	0.1981911093
191	0.1977053103
192	0.1972365338
193	0.1968665634
194	0.1960532147
195	0.1955763554
196	0.1951331622
197	0.1945483083
198	0.1938796334
199	0.193496342
200	0.1930764724
201	0.1922113225
202	0.1918772131
203	0.1913439612
204	0.1908761384
205	0.1901893795
206	0.1897101306
207	0.1891785566
208	0.1887047381
209	0.1880141839
210	0.1874175542
211	0.1866868613
212	0.1863645802
213	0.1858384132
214	0.1853379402
215	0.1847785507
216	0.1840990896
217	0.183657472
218	0.1827330396
219	0.1823573375
220	0.1819999183
221	0.1814226593
222	0.1807889731
223	0.1802670921
224	0.1796957044
225	0.1787921767
226	0.1783595002
227	0.1777499558
228	0.177431665
229	0.1769773566
230	0.1765345435
231	0.175947181
232	0.1752805116
233	0.1747700346
234	0.1740891678
235	0.1736533262
236	0.1730290496
237	0.1726334392
238	0.1722940403
239	0.1717943675
240	0.1711647172
241	0.1707996175
242	0.1702867632
243	0.16995081
244	0.1695237782
245	0.1690774862
246	0.1681516965
247	0.1678079439
248	0.1673493828
249	0.1669577599
250	0.1662279226
251	0.1657860203
252	0.1654151516
253	0.1649494268
254	0.1639734075
255	0.1636758611
256	0.1631763223
257	0.1625208039
258	0.1619577988
259	0.161377553
260	0.1608436612
261	0.1604532836
262	0.1599066817
263	0.1595741548
264	0.1593089283
265	0.1588493596
266	0.1583310583
267	0.1580628506
268	0.1575019643
269	0.1569387256
270	0.1562561077
271	0.1560549003
272	0.1553713218
273	0.1550276038
274	0.1547435139
275	0.1541385374
276	0.1537059825
277	0.1533177832
278	0.1527646963
279	0.152573269
280	0.1522819754
281	0.1516939467
282	0.1512411822
283	0.1505085448
284	0.1500430508
285	0.1495901661
286	0.1492266033
287	0.1490362084
288	0.1485681769
289	0.1481104077
290	0.1475053773
291	0.1470898006
292	0.1466146193
293	0.1461441524
294	0.1457523968
295	0.1455850712
296	0.1452136938
297	0.1449214452
298	0.144545363
299	0.1439403437
